age,netSpend,totalWD,fedTax,rmd,rothConv,endTaxable,endTraditional,endRoth,endTotal
58,0,0,0,0,0,458600,1189900,0,1648500
59,0,0,0,0,0,521847,1286196,0,1808043
60,0,0,0,0,0,590065,1389319,0,1979383
61,0,0,0,0,0,663598,1499731,0,2163329
62,0,0,0,24273,0,767089,1593650,0,2360739
63,0,0,0,25913,0,879875,1692655,0,2572530
64,0,0,0,27553,0,1002584,1797095,0,2799679
65,173939,113764,0,29296,0,953987,1884610,0,2838597
66,179293,116809,0,31011,0,899187,1976099,0,2875286
67,184826,64414,2400,32968,0,893220,2071577,0,2964798
68,190546,66274,2771,35046,0,885006,2171184,0,3056190
69,196460,68166,3164,37252,0,874364,2275059,0,3149423
70,202575,70306,3587,39389,0,860892,2383548,0,3244441
71,208898,72347,4101,41861,0,844504,2496618,0,3341122
72,215437,74627,4592,44232,0,824769,2614666,0,3439435
73,222201,76755,5169,46998,0,801624,2737621,0,3539245
74,229197,79174,5714,49618,0,774556,2865949,0,3640504
75,236435,13128,24281,136510,0,811774,2915726,0,3727499
76,243923,11072,25701,144697,0,853467,2960551,0,3814017
77,251672,9881,27120,152498,0,899061,3000488,0,3899549
78,259691,95583,39818,136386,0,861917,3059134,0,3921051
79,267991,95667,41898,144983,0,822274,3112995,0,3935269
80,276582,98596,44513,154109,0,777126,3161231,0,3938357
81,285475,99081,46757,162950,0,728558,3203761,0,3932319
82,294683,98565,49195,173176,0,677349,3238829,0,3916179
83,266529,51657,45661,182985,0,669720,3266369,0,3936088
84,275272,49089,48034,194427,0,664163,3284256,0,3948419
85,284333,47403,50362,205266,0,659930,3292467,0,3952397
86,293725,45564,52780,216610,0,657262,3289867,0,3947129
87,303461,43581,55289,228463,0,656403,3275246,0,3931649
88,313556,43160,57696,239069,0,655910,3249068,0,3904977
89,324023,41015,60391,251866,0,657529,3208391,0,3865920
90,334879,40891,62944,262983,0,659377,3153954,0,3813331
